Title;Authors;Publication;Volume;Number;Pages;Year;Publisher;Search Query;Duplicate removal;I1 (SA Method);I2 (software only);I3 (english);I4 (available);I5 (peer reviewed);E1 (Removal of secondary study);E2 (Unavailable);Included for data extraction;;;;
PLAR: Towards a pluggable software architecture for securing IoT devices;"Maroof, Uzma; Shaghaghi, Arash; Jha, Sanjay;";Proceedings of the 2nd International ACM Workshop on Security and Privacy for the Internet-of-Things;;;50-57;2019;;SQ1;;;;x;x;x;;;;;;;
Describing software architecture with UML;"Kruchten, Philippe; Selic, Bran; Kozaczynski, Wojtek;";Software Engineering, International Conference on;;;0715-0715;2001;IEEE Computer Society;SQ1;;;;x;x;x;;;;;;;
Education software architecture: facing student desertion in Colombia higher education with an intelligent knowledge based coaching system;"Pérez-Gama, Alfonso; Hoyos, Guillermo; Parra-Espitia, Leyini; Ortegón, Miguel; Rozo-Pardo, Luis Giovanny; Perez-Gutierrez, Byron;";2010 IEEE ANDESCON;;;1-5;2010;IEEE;SQ1;;;;x;x;x;;;;;;;
A comparison of static architecture compliance checking approaches;"Knodel, Jens; Popescu, Daniel;";2007 Working IEEE/IFIP conference on software architecture (WICSA'07);;;12-12;2007;IEEE;SQ1;;;;x;x;x;;;;;;;
An empirical study of architectural decay in open-source software;"Le, Duc Minh; Link, Daniel; Shahbazian, Arman; Medvidovic, Nenad;";2018 IEEE International conference on software architecture (ICSA);;;176-17609;2018;IEEE;SQ1;;;;x;x;x;;;;;;;
Aspect-oriented software development beyond programming;"Rashid, Awais; Garcia, Alessandro; Moreira, Ana;";Proceedings of the 28th international conference on Software engineering;;;1061-1062;2006;;SQ1;;;;x;x;x;;;;;;;
Using dependency models to manage complex software architecture;"Sangal, Neeraj; Jordan, Ev; Sinha, Vineet; Jackson, Daniel;";Proceedings of the 20th annual ACM SIGPLAN conference on Object-oriented programming, systems, languages, and applications;;;167-176;2005;;SQ1;;;;x;x;x;;;;;;;
Simulation Enabled Safeguards Assessment Methodology;"Robert, Bean; Trond, Bjornard; Thomas, Larson;";;;;;2007;Idaho National Laboratory (United States). Funding organisation: US …;SQ1;x;;;;;;;;;;;;
I4. 0-device integration: A qualitative analysis of methods and technologies utilized by system integrators: Implications for enginering future industrial internet of things system;"Burzlaff, Fabian; Bartelt, Christian;";2018 IEEE International Conference on Software Architecture Companion (ICSA-C);;;27-34;2018;IEEE;SQ1;;;;x;x;x;;;;;;;
Using service utilization metrics to assess the structure of product line architectures;"Van Der Hoek, André; Dincel, Ebru; Medvidovic, Nenad;";Proceedings. 5th International Workshop on Enterprise Networking and Computing in Healthcare Industry (IEEE Cat. No. 03EX717);;;298-308;2004;IEEE;SQ1;;;;x;x;x;;;;;;;
Case Studies of Static Software Architecture Evaluations;"Knodel, Jens; Lindvall, Mikael; Muthig, Dirk; Naab, Matthias;";Softwaretechnik-Trends;26;2;;2006;;SQ1;;;;x;x;x;;;;;;;
The impact of software development process on software quality: a review;"Singh, Brijendra; Gautam, Shikha;";2016 8th international conference on computational intelligence and communication networks (CICN);;;666-672;2016;IEEE;SQ1;;;;x;x;x;;;;;;;
Multi-faceted reliability assessment techniques: An industrial case study;"Touw, Egbert;";2017 IEEE International Conference on Software Architecture Workshops (ICSAW);;;17-22;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
Distributed versus face-to-face meetings for architecture evalution: a controlled experiment;"Ali Babar, Muhammad; Kitchenham, Barbara; Jeffery, Ross;";Proceedings of the 2006 ACM/IEEE international symposium on Empirical software engineering;;;252-261;2006;;SQ1;;;;x;x;x;;;;;;;
Extending software architecture views with an energy consumption perspective;"Jagroep, Erik; van der Werf, Jan Martijn; Brinkkemper, Sjaak; Blom, Leen; van Vliet, Rob;";Computing;99;6;553-573;2017;Springer;SQ1;;;;x;x;x;;;;;;;
Towards recovering the software architecture of microservice-based systems;"Granchelli, Giona; Cardarelli, Mario; Di Francesco, Paolo; Malavolta, Ivano; Iovino, Ludovico; Di Salle, Amleto;";2017 IEEE International Conference on Software Architecture Workshops (ICSAW);;;46-53;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
An investigation of software engineering curricula;"Kitchenham, Barbara; Budgen, David; Brereton, Pearl; Woodall, Philip;";Journal of Systems and Software;74;3;325-335;2005;Elsevier;SQ1;;;;x;x;x;;;;;;;
An architecture-led safety analysis method;"Feiler, Peter H; Gluch, David; McGregor, John D;";8th European Congress on Embedded Real Time Software and Systems (ERTS 2016);;;;2016;;SQ1;;;;x;x;;;;;;;;
Guidelines for architecting android apps: A mixed-method empirical study;"Verdecchia, Roberto; Malavolta, Ivana; Lago, Patricia;";2019 IEEE International Conference on Software Architecture (ICSA);;;141-150;2019;IEEE;SQ1;;;;x;x;x;;;;;;;
Assessing the quality impact of features in component-based software architectures;"Busch, Axel; Fuchß, Dominik; Eckert, Maximilian; Koziolek, Anne;";European Conference on Software Architecture;;;211-219;2019;Springer;SQ1;;;;x;x;x;;;;;;;
How do open source communities document software architecture: An exploratory survey;"Ding, Wei; Liang, Peng; Tang, Antony; Van Vliet, Hans; Shahin, Mojtaba;";2014 19th International conference on engineering of complex computer systems;;;136-145;2014;IEEE;SQ1;;;;x;x;x;x;;;;;;
Early reliability assessment of component-based software system using coloredpetri net;"MOKARRAM, AMIR HOSSEINZADEH; Isazadeh, Ayaz; Izadkhah, Habib;";Turkish Journal of Electrical Engineering and Computer Sciences;27;4;2681-2696;2019;;SQ1;;x;x;x;x;x;;;x;;;;
Architectural technical debt identification: Moving forward;"Verdecchia, Roberto;";2018 IEEE International Conference on Software Architecture Companion (ICSA-C);;;43-44;2018;IEEE;SQ1;;;;x;x;x;;;;;;;
Sofas: A lightweight architecture for software analysis as a service;"Ghezzi, Giacomo; Gall, Harald C;";2011 Ninth Working IEEE/IFIP Conference on Software Architecture;;;93-102;2011;IEEE;SQ1;;;;x;x;x;;;;;;;
Recovering architectural assumptions;"Roeller, Ronny; Lago, Patricia; van Vliet, Hans;";Journal of Systems and Software;79;4;552-573;2006;Elsevier;SQ1;;;;x;x;x;;;;;;;
Managing semantic models for representing intangible enterprise assets: the aristotele project software architecture;"Gaeta, Angelo; Gaeta, Matteo; Orciuoli, Francesco; Ritrovato, Pierluigi;";2012 Sixth International Conference on Complex, Intelligent, and Software Intensive Systems;;;1024-1029;2012;IEEE;SQ1;;;;x;x;x;;;;;;;
Improved hierarchical clustering algorithm for software architecture recovery;"Wang, Yuxin; Liu, Ping; Guo, He; Li, Han; Chen, Xin;";2010 international conference on intelligent computing and cognitive informatics;;;247-250;2010;IEEE;SQ1;;;;x;x;x;;;;;;;
Evolving a Software Products Line for E-commerce Systems: a Case Study;"Azzolini, Raphael P; Rubira, Cecília MF; Tizzei, Leonardo P; Gaia, Felipe N; Montecchi, Leonardo;";Proceedings of the 2015 European Conference on Software Architecture Workshops;;;1-7;2015;;SQ1;;;;x;x;x;;;;;;;
Metrics for assessing reliability of self-healing software systems;"Tarinejad, Ali; Izadkhah, Habib; Ardakani, Mohammadreza Mollahoseini; Mirzaie, Kamal;";Computers & Electrical Engineering;90;;106952;2021;Elsevier;SQ1;;;;x;x;x;;;;;;;
Assessing Architecture Conformance to Coupling-Related Infrastructure-as-Code Best Practices: Metrics and Case Studies;"Ntentos, Evangelos; Zdun, Uwe; Soldani, Jacopo; Brogi, Antonio;";European Conference on Software Architecture;;;101-116;2022;Springer;SQ1;;;;x;x;x;;;;;;;
The guide to the software engineering body of knowledge;"Bourque, Pierre; Dupuis, Robert; Abran, Alain; Moore, James W; Tripp, Leonard;";IEEE software;16;6;35-44;1999;IEEE;SQ1;;;;x;x;x;;;;;;;
Software architecture reliability analysis using failure scenarios;"Tekinerdogan, Bedir; Sozer, Hasan; Aksit, Mehmet;";Journal of Systems and Software;81;4;558-575;2008;Elsevier;SQ1;;x;x;x;x;x;;;x;;;;
Generating software architecture spectrum with multi-objective genetic algorithms;"Räihä, Outi; Koskimies, Kai; Mäkinen, Erkki;";2011 Third World Congress on Nature and Biologically Inspired Computing;;;29-36;2011;IEEE;SQ1;;;;x;x;x;;;;;;;
Empirical investigations in software architecture completeness;"Lange, Christian FJ;";TU Eindhoven;;;;2003;Citeseer;SQ1;;;;x;x;x;;;;;;;
Software architecture for product lines;"Arboleda, Hugo; Casallas, Rubby; Chavarriaga, Jaime; Royer, Jean‐Claude;";Software architecture 1;;;171-210;2014;Wiley Online Library;SQ1;;;;x;x;x;;;;;;;
AGC4ISR, new software architecture for autonomic grid computing;"Bahrami, Mehdi; Faraahi, Ahmad; Rahmani, Amir Masoud;";2010 International Conference on Intelligent Systems, Modelling and Simulation;;;318-321;2010;IEEE;SQ1;;;;x;x;x;;;;;;;
Software implementation of risk-based dispatch;"Wen, Yunfeng; Dong, Shufeng; Deng, Bin; Cui, Jianlei; Wang, Yifeng; Huang, Lianggang; Guo, Chuangxin;";2013 IEEE Power & Energy Society General Meeting;;;1-4;2013;IEEE;SQ1;;;;x;x;x;;;;;;;
Decision support for reducing unnecessary IT complexity of application architectures;"Wehling, Kenny; Wille, David; Seidl, Christoph; Schaefer, Ina;";2017 IEEE International Conference on Software Architecture Workshops (ICSAW);;;161-168;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
The verification and validation of software architecture for systems of systems;"Michael, James Bret; Riehle, Richard; Shing, Man-Tak;";2009 IEEE International Conference on System of Systems Engineering (SoSE);;;1-6;2009;IEEE;SQ1;;;;x;x;x;;;;;;;
Evaluation and measurement in enterprise and software architecture management;"Hämäläinen, Niina;";Jyväskylä studies in computing;;88;;2008;University of Jyväskylä;SQ1;;;;x;x;;;;;;;;
The architect’s mindset;"Clerc, Viktor; Lago, Patricia; Vliet, Hans van;";International Conference on the Quality of Software Architectures;;;231-249;2007;Springer;SQ1;;;;x;x;x;;;;;;;
Software architecture design reasoning: A card game to help novice designers;"Schriek, Courtney; van der Werf, Jan Martijn EM; Tang, Antony; Bex, Floris;";European conference on software architecture;;;22-38;2016;Springer;SQ1;;;;x;x;x;;;;;;;
Program Analysis and Testing of Database Applications;"Gardikiotis, Spyridon K; Malevris, Nicos;";5th IEEE/ACIS International Conference on Computer and Information Science and 1st IEEE/ACIS International Workshop on Component-Based Software Engineering, Software Architecture and Reuse (ICIS-COMSAR'06);;;368-373;2006;IEEE;SQ1;;;;x;x;x;;;;;;;
Ontology of architectural decisions supporting ATAM based assessment of SOA architectures;"Szwed, Piotr; Skrzynski, Paweł; Rogus, Grzegorz; Werewka, Jan;";2013 Federated Conference on Computer Science and Information Systems;;;287-290;2013;IEEE;SQ1;;;;x;x;x;;;;;;;
The role of architectural model checking in conducting preliminary safety assessment;"Jaradat, Omar; Graydon, Patrick; Bate, Iain;";Proceedings of the 31st International System Safety Conference (ISSC), System Safety Society;;;;2013;;SQ1;;;;x;x;x;;;;;;;
Architecture-based software reliability with error propagation and recovery;"Fiondella, Lance; Gokhale, Swapna S;";2013 International Symposium on Performance Evaluation of Computer and Telecommunication Systems (SPECTS);;;38-45;2013;IEEE;SQ1;;;;x;x;x;;;;;;;
Requirements clustering for architecture-level modularity assessment;"Al-Otaiby, Turky Nayef;";;;;;2004;Florida Institute of Technology;SQ1;;;;x;x;;;;;;;;
Dealing with variability in architecture descriptions to support automotive product lines: Specification and analysis methods;"Mann, Stefan; Rock, Georg;";Proc. embedded world Conference 2009;;;3-5;2009;Citeseer;SQ1;;;;x;x;x;;;;;;;
Using stakeholder preferences to make better architecture decisions;"Ernst, Neil; Klein, John; Mathew, George; Menzies, Tim;";2017 IEEE International Conference on Software Architecture Workshops (ICSAW);;;133-136;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
SoftArch: Tool support for integrated software architecture development;"Grundy, John; Hosking, John;";International Journal of Software Engineering and Knowledge Engineering;13;2;125-151;2003;World Scientific;SQ1;;;;x;x;x;;;;;;;
The software architecture for the first challenge on generating instructions in virtual environments;"Koller, Alexander; Byron, Donna; Cassell, Justine; Dale, Robert; Moore, Johanna D; Oberlander, Jon; Striegnitz, Kristina;";Proceedings of the Demonstrations Session at EACL 2009;;;33-36;2009;;SQ1;;;;x;x;x;;;;;;;
Nonmonotonic temporal logics and autonomous agents: each contributes to the rigorous basis for the other;"Sandewall, Erik;";Grundlagen und Anwendungen der Künstlichen Intelligenz;;;107-124;1993;Springer;SQ1;;;;x;x;x;;;;;;;
Scenario-based assessment of process pattern languages;"Välimäki, Antti; Vesiluoma, Sari; Koskimies, Kai;";International Conference on Product-Focused Software Process Improvement;;;246-260;2009;Springer;SQ1;;;;x;x;x;;;;;;;
Knowledge-based Adequacy assessment Approach to support AI adoption;"Jahić, Jasmin; Roitsch, Robin; Grzymkowski, Łukasz;";2021 IEEE 18th International Conference on Software Architecture Companion (ICSA-C);;;8-14;2021;IEEE;SQ1;;;;x;x;x;;;;;;;
Comparative evaluation of robotic software integration systems: A case study;"Shakhimardanov, Azamat; Prassler, Erwin;";2007 IEEE/RSJ International Conference on Intelligent Robots and Systems;;;3031-3037;2007;IEEE;SQ1;;;;x;x;x;;;;;;;
A process-oriented software architecture reconstruction taxonomy;"Ducasse, Stéphane; Pollet, Damien; Poyet, Loic;";CSMR 2007;;;;2007;IEEE Computer Science;SQ1;;;;x;x;x;;;;;;;
ACCA: An architecture-centric concern analysis method;"Wang, Zhenyu; Sherdil, Khalid; Madhavji, Nazim H;";5th Working IEEE/IFIP Conference on Software Architecture (WICSA'05);;;99-108;2005;IEEE;SQ1;;;;x;x;x;;;;;;;
Pattern-oriented software architecture, on patterns and pattern languages;"Buschmann, Frank; Henney, Kevlin; Schmidt, Douglas C;";;;;;2007;John wiley & sons;SQ1;;;;x;x;;;;;;;;
On the interest of data mining for an integrity assessment of AIS messages;"Iphar, Clément; Napoli, Aldo; Ray, Cyril;";2016 IEEE 16th International Conference on Data Mining Workshops (ICDMW);;;368-373;2016;IEEE;SQ1;;;;x;x;x;;;;;;;
Using sound to understand software architecture;"Berman, Lewis I; Gallagher, Keith B;";Proceedings of the 27th ACM international conference on Design of communication;;;127-134;2009;;SQ1;;;;x;x;x;;;;;;;
Performance evaluation at the software architecture level;"Balsamo, Simonetta; Bernardo, Marco; Simeoni, Marta;";International School on Formal Methods for the Design of Computer, Communication and Software Systems;;;207-258;2003;Springer;SQ1;;;;x;x;x;;;;;;;
Theory and evaluation of human robot interactions;"Scholtz, Jean;";36th Annual Hawaii International Conference on System Sciences, 2003. Proceedings of the;;;10 pp.;2003;IEEE;SQ1;;;;x;x;x;;;;;;;
Behavior trees as a control architecture in the automatic modular design of robot swarms;"Kuckling, Jonas; Ligot, Antoine; Bozhinoski, Darko; Birattari, Mauro;";International Conference on Swarm Intelligence;;;30-43;2018;Springer;SQ1;;;;x;x;x;;;;;;;
Integrated architectural design of business and information systems;"Goedvolk, JG; de Bruin, Hans; Rijsenbrij, DBB;";The Second Nordic Workshop on Software Architecture (NOSA’99);;;;1999;Citeseer;SQ1;;;;x;x;x;;;;;;;
Software Architecture for Automated Assessment of Prescription Writing;"Khatami, Alireza; Holbrook, Anne; Levinson, Anthony J; Keshavjee, Karim;";;;;;2022;;SQ1;;;;x;x;x;;;;;;;
Automated extraction of rich software models from limited system information;"Langhammer, Michael; Shahbazian, Arman; Medvidovic, Nenad; Reussner, Ralf H;";2016 13th Working IEEE/IFIP Conference on Software Architecture (WICSA);;;99-108;2016;IEEE;SQ1;;;;x;x;x;;;;;;;
From a monolith to a microservices architecture: An approach based on transactional contexts;"Nunes, Luís; Santos, Nuno; Rito Silva, António;";European Conference on Software Architecture;;;37-52;2019;Springer;SQ1;;;;x;x;x;;;;;;;
Software architecture for real-time systems;"Wall, Anders;";Malardalen Real-Time Research Center, Malardalen University, Vasteras, Sweden, Tech. Rep;;;;2000;;SQ1;;;;x;x;x;;;;;;;
A Meta Model for Software Architecture Conformance and Quality Assessment;"Goeb, Andreas;";Electronic Communications of the EASST;60;;;2013;;SQ1;;;;x;x;x;;;;;;;
Design, realization and evaluation of a component-based compositional software architecture for network simulation;"Tyan, Hung-ying;";;;;;2002;The Ohio State University;SQ1;;;;x;x;x;;;;;;;
Assessing platform suitability for achieving quality in guest applications;"Sodhi, Balwinder; Prabhakar, TV;";2012 19th Asia-Pacific Software Engineering Conference;1;;760-765;2012;IEEE;SQ1;;;;x;x;x;;;;;;;
Complementary crossover for genetic software architecture synthesis;"Räihä, Outi; Koskimies, Kai; Mäkinen, Erkki;";2010 10th International Conference on Intelligent Systems Design and Applications;;;266-271;2010;IEEE;SQ1;;;;x;x;x;;;;;;;
PEER REVIEW SOFTWARE EVALUATION;"Petrov, M; Damyanov, D; Aleksieva-Petrova, A;";EDULEARN19 Proceedings;;;5831-5840;2019;IATED;SQ1;;;;x;x;x;;;;;;;
Software quality assurance through COSMIC FFP;"Zayaraz, G; Thambidurai, Dr P; Srinivasan, Madhu; Rodrigues, Dr Paul;";ACM SIGSOFT Software Engineering Notes;30;5;1-5;2005;ACM New York, NY, USA;SQ1;;;;x;x;x;;;;;;;
Experimental analysis of textual and graphical representations for software architecture design;"Heijstek, Werner; Kühne, Thomas; Chaudron, Michel RV;";2011 International Symposium on Empirical Software Engineering and Measurement;;;167-176;2011;IEEE;SQ1;;;;x;x;x;;;;;;;
Problem frames and object-oriented software architecture;"Taylor, Paul;";Proceedings 37th International Conference on Technology of Object-Oriented Languages and Systems. TOOLS-Pacific 2000;;;70-81;2000;IEEE;SQ1;;;;x;x;x;;;;;;;
Quality requirements engineering for systems and software architecting: methods, approaches, and tools;"Capilla, Rafael; Ali Babar, Muhammad; Pastor, Oscar;";Requirements Engineering;17;4;255-258;2012;Springer;SQ1;;;;x;x;x;;;;;;;
Operation‐based approach for documenting software architecture knowledge;"Roldán, María Luciana; Gonnet, Silvio; Leone, Horacio;";Expert Systems;33;4;313-348;2016;Wiley Online Library;SQ1;;;;x;x;x;;;;;;;
An experiment on creating scenario profiles for software change;"Bengtsson, PerOlof; Bosch, Jan;";Annals of Software Engineering;9;1;59-78;2000;Springer;SQ1;;;;x;x;x;;;;;;;
A Framework for Software Architecture Visualisation Assessment;"Hatch, K Gallagher A; Munro, M;";;;;;2008;;SQ1;;;;x;x;x;;;;;;;
Abaqus2Matlab: A suitable tool for finite element post-processing;"Papazafeiropoulos, George; Muñiz-Calvente, Miguel; Martínez-Pañeda, Emilio;";Advances in Engineering Software;105;;9-16;2017;Elsevier;SQ1;;;;x;x;x;;;;;;;
Feature model to product architectures: Applying MDE to Software Product Lines;"Perovich, Daniel; Rossel, Pedro O; Bastarrica, Maria Cecilia;";2009 Joint Working IEEE/IFIP Conference on Software Architecture & European Conference on Software Architecture;;;201-210;2009;IEEE;SQ1;;;;x;x;x;;;;;;;
Towards quantitative metrics for architecture models;"Sehestedt, Stephan; Cheng, Chih-Hong; Bouwers, Eric;";Proceedings of the WICSA 2014 Companion Volume;;;1-4;2014;;SQ1;;x;x;x;x;x;;;x;;;;
Importance of software architecture during release planning;"Lindgren, Markus; Norstrom, Christer; Wall, Anders; Land, Rikard;";Seventh Working IEEE/IFIP Conference on Software Architecture (WICSA 2008);;;253-256;2008;IEEE;SQ1;;;;x;x;x;;;;;;;
Development of Automatic English Translation System Based on Fuzzy Matching and Software Simulation;"Tan, Qian;";Mobile Information Systems;2022;;;2022;Hindawi;SQ1;;;;x;x;x;;;;;;;
Models for evaluating and improving architecture competence;"Bass, Len; Clements, Paul; Kazman, Rick; Klein, Mark;";;;;;2008;CARNEGIE-MELLON UNIV PITTSBURGH PA SOFTWARE ENGINEERING INST;SQ1;;;;x;x;;;;;;;;
How well can we predict changes at architecture design time?;"Lassing, Nico; Rijsenbrij, Daan; van Vliet, Hans;";Journal of Systems and Software;65;2;141-153;2003;Elsevier;SQ1;;;;x;x;x;;;;;;;
A framework for capturing the relationship between usability and software architecture;"Folmer, Eelke; Van Gurp, Jilles; Bosch, Jan;";Software Process: Improvement and Practice;8;2;67-87;2003;Wiley Online Library;SQ1;;;;x;x;x;;;;;;;
Component Indicators for Architecture Interaction Assessment;"Davis, J Payton L; Flagg, R Gamble D;";;;;;2000;Citeseer;SQ1;;;;x;x;x;;;;;;;
Software architecture;"van Vliet, Hans; New, Anything;";Software engineering: Principles and practice, V. Vliet (Editor), Wiley, New York;;;253-288;2001;;SQ1;x;;;;;;;;;;;;
Standards assessment in disruptive innovation: A software prototype for cloud computing;"Bühler, Robin; Janiesch, Christian;";;;;;2015;;SQ1;;;;x;x;x;;;;;;;
Design and user satisfaction of interactive maps for visually impaired people;"Brock, Anke; Truillet, Philippe; Oriola, Bernard; Picard, Delphine; Jouffrais, Christophe;";International Conference on Computers for Handicapped Persons;;;544-551;2012;Springer;SQ1;;;;x;x;x;;;;;;;
The COVAMOF software variability assessment method (COSVAM);"Deelstra, Sybren; Nijhuis, Jos; Bosch, Jan; Sinnema, Marco;";Proceedings of the 2nd Groningen Workshop on Software Variability Management (SVMG 2004);;;;2004;Citeseer;SQ1;;;;x;x;x;;;;;;;
Deriving architectural models from requirements specifications: A systematic mapping study;"Souza, Eric; Moreira, Ana; Goulão, Miguel;";Information and software technology;109;;26-39;2019;Elsevier;SQ1;;;;x;x;x;x;;;;;;
Towards a quantitative evaluation of simultaneous localization and mapping methods;"Jaulmes, R; Moliné, Eric; Obriet-Leclef, J;";Control Architecture of Robots national conference;;;;2009;;SQ1;;;;x;x;x;;;;;;;
A strategy for analysing product line software architectures;"Dobrica, Liliana; Niemela, E;";VTT PUBLICATIONS;4;2;7;2000;TECHNICAL RESEARCH CENTRE OF FINLAND ESPOO;SQ1;;;;x;x;;;;;;;;
Enabling the Refinement of a Software Architecture into a Design;"Abi-Antoun, Marwan; Medvidovic, Nenad;";International Conference on the Unified Modeling Language;;;17-31;1999;Springer;SQ1;;;;x;x;x;;;;;;;
Conformance Assessment of Architectural Design Decisions on the Mapping of Domain Model Elements to APIs and API Endpoints;"Singjai, Apitchaka; Zdun, Uwe;";2022 IEEE 19th International Conference on Software Architecture Companion (ICSA-C);;;76-83;2022;IEEE;SQ1;;;;x;x;x;;;;;;;
Software architecture: a travelogue;"Garlan, David;";Future of Software Engineering Proceedings;;;29-39;2014;;SQ1;;;;x;x;x;;;;;;;
Viewpoints on modifiability;"Lassing, Nico; Rijsenbrij, Daan; Van Vliet, Hans;";International Journal of Software Engineering and Knowledge Engineering;11;4;453-478;2001;World Scientific;SQ1;;;;x;x;x;;;;;;;
Embedded assessment of cognitive performance with elders’ use of computer games in a residential environment;"Jimison, Holly; Pavel, Misha; Wild, Katherine; Williams, D; McKanna, J; Bissel, P;";Proceedings of the Workshop on the Cognitive Science of Games and Gaming;;;;2006;;SQ1;;;;x;x;x;;;;;;;
Building Quality Into Learning Management Systems–An Architecture-Centric Approach;"Avgeriou, Paris; Retalis, Simos; Skordalakis, Manolis;";International Conference on Conceptual Modeling;;;312-324;2002;Springer;SQ1;;;;x;x;x;;;;;;;
Hybrid hardware-software architecture for reconfigurable real-time systems;"Pellizzoni, Rodolfo; Caccamo, Marco;";2008 IEEE Real-Time and Embedded Technology and Applications Symposium;;;273-284;2008;IEEE;SQ1;;;;x;x;x;;;;;;;
CVS release history data for detecting logical couplings;"Gall, Harald; Jazayeri, Mehdi; Krajewski, Jacek;";Sixth International Workshop on Principles of Software Evolution, 2003. Proceedings.;;;13-23;2003;IEEE;SQ1;;;;x;x;x;;;;;;;
A tool for design pattern detection and software architecture reconstruction;"Fontana, Francesca Arcelli; Zanoni, Marco;";Information sciences;181;7;1306-1324;2011;Elsevier;SQ1;;;;x;x;x;;;;;;;
A component-based software reliability assessment method considering component effective behavior;"Ling, Dongyi; Liu, Bin; Wang, Shihai;";2017 Second International Conference on Reliability Systems Engineering (ICRSE);;;1-6;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
EvoGrader: an online formative assessment tool for automatically evaluating written evolutionary explanations;"Moharreri, Kayhan; Ha, Minsu; Nehm, Ross H;";Evolution: Education and Outreach;7;1;1-14;2014;Springer;SQ1;;;;x;x;x;;;;;;;
Defining and validating a multimodel approach for product architecture derivation and improvement;"González-Huerta, Javier; Insfrán, Emilio; Abrahão, Silvia;";International Conference on Model Driven Engineering Languages and Systems;;;388-404;2013;Springer;SQ1;;;;x;x;x;;;;;;;
Experience with performing architecture tradeoff analysis;"Kazman, Rick; Barbacci, Mario; Klein, Mark; Carriere, S Jeromy; Woods, Steven G;";Proceedings of the 1999 International Conference on Software Engineering (IEEE Cat. No. 99CB37002);;;54-63;1999;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
Knowledge centered assessment pattern: an effective tool for assessing safety concerns in software architecture;"Khajenoori, Soheil; Prem, Lorenz; Stevens, Karen; Keng, Ban Seng; Kameli, Nader;";Journal of Systems and Software;73;2;313-322;2004;Elsevier;SQ1;;x;x;x;x;x;;;x;;;;
Microvision: Static analysis-based approach to visualizing microservices in augmented reality;"Cerny, Tomas; Abdelfattah, Amr S; Bushong, Vincent; Al Maruf, Abdullah; Taibi, Davide;";2022 IEEE International Conference on Service-Oriented System Engineering (SOSE);;;49-58;2022;IEEE;SQ1;;;;x;x;x;;;;;;;
Simulating automated intent assessment;"Nguyen, XT;";SimTecT 2002: Simulation Conference and Exhibition;;;;2002;Citeseer;SQ1;;;;x;x;x;;;;;;;
Collaborative architecture design and evaluation;"Haynes, Steven R; Skattebo, Amie L; Singel, Jonathan A; Cohen, Mark A; Himelright, Jodi L;";Proceedings of the 6th conference on Designing Interactive systems;;;219-228;2006;;SQ1;;;;x;x;x;;;;;;;
A software architecture for ontology-driven situation awareness;"Baumgartner, Norbert; Retschitzegger, Werner; Schwinger, Wieland;";Proceedings of the 2008 ACM symposium on Applied computing;;;2326-2330;2008;;SQ1;;;;x;x;x;;;;;;;
Creating product line architectures;"Bayer, Joachim; Flege, Oliver; Gacek, Cristina;";International Workshop on Software Architectures for Product Families;;;210-216;2000;Springer;SQ1;;;;x;x;x;;;;;;;
An automated approach for noise identification to assist software architecture recovery techniques;"Constantinou, Eleni; Kakarontzas, George; Stamelos, Ioannis;";Journal of Systems and Software;107;;142-157;2015;Elsevier;SQ1;;;;x;x;x;;;;;;;
Meta-evolution style for software architecture evolution;"Hassan, Adel; Oussalah, Mourad;";International Conference on Current Trends in Theory and Practice of Informatics;;;478-489;2016;Springer;SQ1;;;;x;x;x;;;;;;;
A goal-oriented approach for the generation and evaluation of alternative architectures;"Grau, Gemma; Franch, Xavier;";European Conference on Software Architecture;;;139-155;2007;Springer;SQ1;;;;x;x;x;;;;;;;
Reliability assessment method for Integrated Modular Avionics System Based on Bayesian network;"Ling, Dongyi;";AIAA Modeling and Simulation Technologies Conference;;;4136;2016;;SQ1;;;;x;x;x;;;;;;;
Where do software architectures come from? Systematic development from domains and requirements. A re-assessment of software engineering?;"Bjorner, D;";;;;;1999;South African Computer Society (SAICSIT);SQ1;;;;x;x;x;;;;;;;
Using economic considerations to choose among architecture design alternatives;"Asundi, Jayatirtha; Kazman, Rick; Klein, Mark;";;;;;2001;CARNEGIE-MELLON UNIV PITTSBURGH PA SOFTWARE ENGINEERING INST;SQ1;;;;x;x;;;;;;;;
Decision-making techniques for software architecture design: A comparative survey;"Falessi, Davide; Cantone, Giovanni; Kazman, Rick; Kruchten, Philippe;";ACM Computing Surveys (CSUR);43;4;1-28;2011;ACM New York, NY, USA;SQ1;;;;x;x;x;x;;;;;;
A Framework for Assessing the Impact of Software Changes to Software Architecture Using Change Classification;"Williams, Byron Joseph;";;;;;2006;;SQ1;;;;x;x;x;;;;;;;
Towards software architecture documents matching stakeholders’ interests;"Nicoletti, Matías; Diaz-Pace, J Andrés; Schiaffino, Silvia;";International Conference on Advances in New Technologies, Interactive Interfaces, and Communicability;;;176-185;2011;Springer;SQ1;;;;x;x;x;;;;;;;
